Object,Plot_Name,Unit_Code,Lat,Lng,PC1,PC2,PC3,PC4,PC5
27,CATO-0098,CATO,39.66079003,-77.4596251,Red-eyed Vireo,Wood Thrush,Ovenbird,Eastern Wood-Pewee,American Robin
28,CATO-0101,CATO,39.6609748,-77.45088989,Ovenbird,Red-eyed Vireo,Wood Thrush,Eastern Wood-Pewee,Scarlet Tanager
29,CATO-0104,CATO,39.65798133,-77.48574956,Red-eyed Vireo,Acadian Flycatcher,Wood Thrush,Ovenbird,Eastern Wood-Pewee
30,CATO-0150,CATO,39.65422324,-77.4506513,Ovenbird,Wood Thrush,Red-eyed Vireo,Eastern Wood-Pewee,Scarlet Tanager
31,CATO-0153,CATO,39.65110513,-77.49133011,Ovenbird,Red-eyed Vireo,American Crow,Veery,Hooded Warbler
32,CATO-0158,CATO,39.65141662,-77.47677377,Red-eyed Vireo,Wood Thrush,Scarlet Tanager,Eastern Wood-Pewee,Acadian Flycatcher
33,CATO-0160,CATO,39.65154071,-77.47095117,Red-eyed Vireo,Eastern Wood-Pewee,Wood Thrush,Ovenbird,Scarlet Tanager
34,CATO-0176,CATO,39.649104,-77.47960461,Red-eyed Vireo,Scarlet Tanager,Eastern Wood-Pewee,American Crow,Ovenbird
35,CATO-0206,CATO,39.64741019,-77.45332396,Red-eyed Vireo,Eastern Wood-Pewee,Wood Thrush,Scarlet Tanager,Ovenbird
36,CATO-0211,CATO,39.6477169,-77.43876798,Eastern Wood-Pewee,Red-eyed Vireo,Ovenbird,Scarlet Tanager,Blue Jay
37,CATO-0237,CATO,39.64247676,-77.4735415,Red-eyed Vireo,Eastern Wood-Pewee,Wood Thrush,Scarlet Tanager,American Robin
38,CATO-0238,CATO,39.64253875,-77.47063057,Red-eyed Vireo,Eastern Wood-Pewee,Wood Thrush,American Robin,Scarlet Tanager
39,CATO-0242,CATO,39.64278598,-77.45898677,Wood Thrush,Eastern Wood-Pewee,Red-eyed Vireo,Scarlet Tanager,American Robin
40,CATO-0258,CATO,39.64041201,-77.46472875,Wood Thrush,Scarlet Tanager,Eastern Wood-Pewee,Red-eyed Vireo,American Robin
41,CATO-0268,CATO,39.64102637,-77.43561974,Eastern Wood-Pewee,Scarlet Tanager,Red-eyed Vireo,Ovenbird,Blue Jay
42,CATO-0271,CATO,39.63778942,-77.48211323,Eastern Towhee,Wood Thrush,Blue Jay,Eastern Wood-Pewee,Hooded Warbler
43,CATO-0275,CATO,39.63803777,-77.47047032,Eastern Wood-Pewee,Red-eyed Vireo,Wood Thrush,Scarlet Tanager,White-breasted Nuthatch
44,CATO-0280,CATO,39.63834657,-77.45591649,Red-eyed Vireo,Scarlet Tanager,Wood Thrush,Ovenbird,Blue Jay
45,CATO-0294,CATO,39.63560114,-77.47912212,Eastern Wood-Pewee,Red-eyed Vireo,Scarlet Tanager,Wood Thrush,Blue Jay
